invoice_id,vendor_id,vendor_name,department,amount,timestamp,description
INV-800C8B85,V-GOOD-01,Standard Supplies Inc,Transport,17141.79,2025-08-16T23:29:16.926444,Routine procurement
INV-8F0B64C0,V-GOOD-03,Global Tech Solutions,Healthcare,17450.31,2025-12-24T20:29:29.926444,Routine procurement
INV-1A4F5B74,V-GOOD-02,City Power Corp,Infrastructure,31159.98,2025-09-23T00:51:46.926444,Routine procurement
INV-46B9E427,V-GOOD-03,Global Tech Solutions,Healthcare,13914.47,2025-12-20T05:49:56.926444,Routine procurement
INV-01478DC6,V-GOOD-02,City Power Corp,Infrastructure,13968.27,2025-09-24T20:00:29.926444,Routine procurement
INV-42742371,V-GOOD-03,Global Tech Solutions,Transport,47746.67,2025-10-26T00:17:39.926444,Routine procurement
INV-78156813,V-GOOD-03,Global Tech Solutions,Healthcare,19336.86,2025-12-22T10:59:48.926444,Routine procurement
INV-FD9C8256,V-GOOD-01,Standard Supplies Inc,Healthcare,10437.54,2025-09-23T09:33:05.926444,Routine procurement
INV-ADDCB36B,V-GOOD-01,Standard Supplies Inc,Healthcare,29247.56,2025-07-31T20:12:36.926444,Routine procurement
INV-941FCFEF,V-GOOD-03,Global Tech Solutions,Defense,2639.58,2025-11-27T21:03:40.926444,Routine procurement
INV-4309E0CF,V-GOOD-03,Global Tech Solutions,Infrastructure,15133.6,2025-08-29T05:42:03.926444,Routine procurement
INV-DDAE31EC,V-GOOD-01,Standard Supplies Inc,Infrastructure,38486.71,2025-12-02T15:59:05.926444,Routine procurement
INV-893F88CD,V-GOOD-01,Standard Supplies Inc,Infrastructure,24760.09,2025-09-15T23:26:56.926444,Routine procurement
INV-982CB2CE,V-GOOD-02,City Power Corp,Defense,38293.47,2025-08-11T06:30:44.926444,Routine procurement
INV-E2FD27F9,V-GOOD-03,Global Tech Solutions,Defense,44315.11,2025-10-23T06:09:16.926444,Routine procurement
INV-67B2DF25,V-GOOD-01,Standard Supplies Inc,Education,10546.92,2025-12-13T05:54:28.926444,Routine procurement
INV-87DA062E,V-GOOD-01,Standard Supplies Inc,Healthcare,15120.57,2025-12-29T19:41:45.926444,Routine procurement
INV-01729E73,V-GOOD-02,City Power Corp,Education,16173.24,2025-11-02T15:39:43.926444,Routine procurement
INV-97A7042D,V-GOOD-03,Global Tech Solutions,Education,28236.75,2025-12-19T08:40:14.926444,Routine procurement
INV-AC48D19B,V-GOOD-01,Standard Supplies Inc,Infrastructure,13010.13,2025-07-24T23:04:44.926444,Routine procurement
INV-FC7502DE,V-GOOD-01,Standard Supplies Inc,Infrastructure,5800.68,2025-10-24T02:27:32.926444,Routine procurement
INV-21D90BB1,V-GOOD-01,Standard Supplies Inc,Infrastructure,46527.96,2025-10-18T17:05:42.926444,Routine procurement
INV-167E9F8C,V-GOOD-03,Global Tech Solutions,Healthcare,12212.05,2025-11-16T22:39:43.926444,Routine procurement
INV-E05302E2,V-GOOD-01,Standard Supplies Inc,Healthcare,16456.68,2025-08-11T01:22:14.926444,Routine procurement
INV-3BAFB1F1,V-GOOD-01,Standard Supplies Inc,Infrastructure,46697.58,2025-07-18T07:35:29.926444,Routine procurement
INV-8E0C33DE,V-GOOD-02,City Power Corp,Transport,11078.55,2026-01-01T17:29:34.926444,Routine procurement
INV-55BE5F55,V-GOOD-01,Standard Supplies Inc,Transport,8151.35,2025-08-17T18:35:33.926444,Routine procurement
INV-CE13DCF1,V-GOOD-01,Standard Supplies Inc,Education,23317.64,2025-08-20T17:52:23.926444,Routine procurement
INV-5789BE21,V-GOOD-03,Global Tech Solutions,Transport,38230.73,2025-10-19T03:29:04.926444,Routine procurement
INV-9FD0ABB8,V-GOOD-02,City Power Corp,Defense,33970.21,2025-12-10T06:28:23.926444,Routine procurement
INV-6EE29117,V-GOOD-01,Standard Supplies Inc,Transport,11507.58,2025-10-15T16:52:33.926444,Routine procurement
INV-F512E6B6,V-GOOD-01,Standard Supplies Inc,Infrastructure,48661.25,2025-10-14T10:16:12.926444,Routine procurement
INV-107EFCEB,V-GOOD-01,Standard Supplies Inc,Education,47970.15,2026-01-01T18:58:40.926444,Routine procurement
INV-9A54743C,V-GOOD-01,Standard Supplies Inc,Healthcare,13420.03,2025-09-26T15:47:08.926444,Routine procurement
INV-6DC65140,V-GOOD-03,Global Tech Solutions,Healthcare,30557.14,2025-11-25T23:35:54.926444,Routine procurement
INV-8209A31E,V-GOOD-01,Standard Supplies Inc,Defense,27657.8,2025-09-14T12:14:08.926444,Routine procurement
INV-C7CC2261,V-GOOD-01,Standard Supplies Inc,Transport,6590.62,2025-08-20T07:51:19.926444,Routine procurement
INV-006C2708,V-GOOD-01,Standard Supplies Inc,Infrastructure,7084.14,2025-10-11T09:57:28.926444,Routine procurement
INV-C7043A88,V-GOOD-02,City Power Corp,Transport,36151.5,2025-12-20T04:48:44.926444,Routine procurement
INV-13FAE2ED,V-GOOD-02,City Power Corp,Transport,7106.0,2025-12-07T06:18:26.926444,Routine procurement
INV-C2D4FBE1,V-GOOD-03,Global Tech Solutions,Infrastructure,20472.25,2025-12-29T09:50:55.926444,Routine procurement
INV-AF491573,V-GOOD-03,Global Tech Solutions,Defense,43686.7,2025-10-15T15:41:39.926444,Routine procurement
INV-3117FDB7,V-GOOD-02,City Power Corp,Transport,19380.36,2025-07-18T12:54:50.926444,Routine procurement
INV-FAB78A53,V-GOOD-03,Global Tech Solutions,Healthcare,25781.75,2025-09-18T05:10:42.926444,Routine procurement
INV-A4DC5A4D,V-GOOD-03,Global Tech Solutions,Transport,44561.32,2025-10-25T08:48:36.926444,Routine procurement
INV-5162BF7C,V-GOOD-03,Global Tech Solutions,Education,45941.84,2025-12-03T04:31:30.926444,Routine procurement
INV-A0AED600,V-GOOD-02,City Power Corp,Healthcare,37646.28,2025-11-15T02:18:22.926444,Routine procurement
INV-8E660A5B,V-GOOD-01,Standard Supplies Inc,Transport,43341.12,2025-10-08T20:35:53.926444,Routine procurement
INV-53DC2848,V-GOOD-03,Global Tech Solutions,Transport,7164.88,2025-09-04T02:33:16.926444,Routine procurement
INV-7FC083C0,V-GOOD-01,Standard Supplies Inc,Education,19606.86,2025-11-15T15:16:25.926444,Routine procurement
INV-57FAD75A,V-GOOD-03,Global Tech Solutions,Healthcare,12766.17,2025-09-18T18:41:01.926444,Routine procurement
INV-CD23FB10,V-GOOD-03,Global Tech Solutions,Healthcare,23968.17,2025-07-31T01:10:02.926444,Routine procurement
INV-34B0B4E3,V-GOOD-01,Standard Supplies Inc,Defense,12787.65,2025-08-15T08:57:14.926444,Routine procurement
INV-E3EA6CF7,V-GOOD-01,Standard Supplies Inc,Infrastructure,32725.13,2025-08-04T02:47:13.926444,Routine procurement
INV-FAFF7050,V-GOOD-02,City Power Corp,Defense,34104.64,2025-11-28T01:10:13.926444,Routine procurement
INV-8AC1CC2B,V-GOOD-02,City Power Corp,Infrastructure,15683.49,2025-08-03T18:53:36.926444,Routine procurement
INV-6293BFBB,V-GOOD-03,Global Tech Solutions,Education,33854.73,2025-11-27T19:19:33.926444,Routine procurement
INV-9F3BBA3B,V-GOOD-01,Standard Supplies Inc,Defense,46391.29,2025-07-27T22:41:21.926444,Routine procurement
INV-BF19AC9F,V-GOOD-03,Global Tech Solutions,Infrastructure,8110.44,2025-11-25T18:19:52.926444,Routine procurement
INV-0B486619,V-GOOD-01,Standard Supplies Inc,Transport,32109.59,2025-09-15T17:18:17.926444,Routine procurement
INV-A35248AA,V-GOOD-02,City Power Corp,Transport,44549.57,2026-01-04T01:30:49.926444,Routine procurement
INV-665DCEDF,V-GOOD-01,Standard Supplies Inc,Transport,907.4,2025-10-24T11:41:14.926444,Routine procurement
INV-E2A200AB,V-GOOD-01,Standard Supplies Inc,Transport,43930.12,2025-11-04T02:08:08.926444,Routine procurement
INV-C331DDA2,V-GOOD-03,Global Tech Solutions,Education,29020.71,2026-01-02T11:39:53.926444,Routine procurement
INV-07444448,V-GOOD-03,Global Tech Solutions,Infrastructure,22719.66,2025-10-01T09:00:31.926444,Routine procurement
INV-DF634A8B,V-GOOD-02,City Power Corp,Infrastructure,40181.67,2025-08-29T04:13:04.926444,Routine procurement
INV-9BB94B5F,V-GOOD-01,Standard Supplies Inc,Healthcare,40453.28,2025-10-08T03:01:24.926444,Routine procurement
INV-8CB14C1C,V-GOOD-02,City Power Corp,Infrastructure,39943.04,2025-08-05T23:44:33.926444,Routine procurement
INV-39EC7965,V-GOOD-01,Standard Supplies Inc,Infrastructure,27710.91,2025-12-02T02:29:42.926444,Routine procurement
INV-EAE00975,V-GOOD-03,Global Tech Solutions,Defense,31522.2,2025-10-21T22:03:11.926444,Routine procurement
INV-2DD3DA69,V-GOOD-02,City Power Corp,Infrastructure,5353.16,2025-11-24T08:35:04.926444,Routine procurement
INV-AFCB8EDD,V-GOOD-01,Standard Supplies Inc,Defense,9683.0,2025-08-08T04:24:27.926444,Routine procurement
INV-A295D78A,V-GOOD-02,City Power Corp,Transport,17197.22,2025-12-14T09:40:59.926444,Routine procurement
INV-7099E084,V-GOOD-02,City Power Corp,Healthcare,31802.53,2025-08-25T10:32:58.926444,Routine procurement
INV-07ECDB93,V-GOOD-02,City Power Corp,Transport,13868.47,2025-12-02T19:02:28.926444,Routine procurement
INV-E2132C53,V-GOOD-01,Standard Supplies Inc,Transport,17524.21,2025-10-15T20:17:07.926444,Routine procurement
INV-C3F9296B,V-GOOD-02,City Power Corp,Healthcare,49001.56,2025-10-31T19:39:36.926444,Routine procurement
INV-669F27F9,V-GOOD-01,Standard Supplies Inc,Healthcare,7811.67,2025-08-09T01:18:30.926444,Routine procurement
INV-D48AADED,V-GOOD-02,City Power Corp,Transport,25325.84,2025-09-16T07:05:01.926444,Routine procurement
INV-99135E10,V-GOOD-03,Global Tech Solutions,Healthcare,9838.66,2025-10-01T18:46:47.926444,Routine procurement
INV-9876F386,V-GOOD-02,City Power Corp,Infrastructure,49389.49,2025-12-02T17:59:20.926444,Routine procurement
INV-5090D374,V-GOOD-02,City Power Corp,Education,37292.2,2025-07-23T09:28:58.926444,Routine procurement
INV-0C98BBC0,V-GOOD-01,Standard Supplies Inc,Transport,13904.63,2025-11-02T10:40:25.926444,Routine procurement
INV-079D77B8,V-GOOD-01,Standard Supplies Inc,Transport,19138.46,2025-07-31T20:23:52.926444,Routine procurement
INV-AF8777B9,V-GOOD-03,Global Tech Solutions,Infrastructure,12322.36,2025-11-21T18:44:51.926444,Routine procurement
INV-8D7123C3,V-GOOD-03,Global Tech Solutions,Infrastructure,11229.83,2025-12-08T18:30:59.926444,Routine procurement
INV-171B44C6,V-GOOD-01,Standard Supplies Inc,Transport,37751.34,2025-08-13T21:23:05.926444,Routine procurement
INV-FA02DA59,V-GOOD-01,Standard Supplies Inc,Education,29295.15,2025-12-13T07:04:55.926444,Routine procurement
INV-7CF47FA9,V-GOOD-01,Standard Supplies Inc,Infrastructure,6314.97,2025-11-01T09:33:51.926444,Routine procurement
INV-5CFF8763,V-GOOD-03,Global Tech Solutions,Defense,25357.0,2025-12-12T00:17:02.926444,Routine procurement
INV-896B13E6,V-GOOD-01,Standard Supplies Inc,Infrastructure,47623.75,2025-11-28T18:42:04.926444,Routine procurement
INV-82A89302,V-GOOD-01,Standard Supplies Inc,Infrastructure,21580.09,2025-08-01T15:10:51.926444,Routine procurement
INV-A9F05D64,V-GOOD-01,Standard Supplies Inc,Healthcare,21153.07,2025-09-15T18:53:07.926444,Routine procurement
INV-4145AE27,V-GOOD-02,City Power Corp,Healthcare,21673.2,2025-12-25T19:49:34.926444,Routine procurement
INV-0F4367E0,V-GOOD-03,Global Tech Solutions,Defense,45521.19,2025-12-13T10:45:32.926444,Routine procurement
INV-A467B08D,V-GOOD-01,Standard Supplies Inc,Defense,5000.91,2025-10-31T06:08:24.926444,Routine procurement
INV-D713A9B5,V-GOOD-01,Standard Supplies Inc,Infrastructure,49969.2,2025-10-08T22:39:29.926444,Routine procurement
INV-1400C280,V-GOOD-01,Standard Supplies Inc,Healthcare,8144.91,2025-10-29T03:12:35.926444,Routine procurement
INV-C07C8615,V-GOOD-03,Global Tech Solutions,Healthcare,6707.27,2025-09-20T03:34:55.926444,Routine procurement
INV-82D964F6,V-GOOD-01,Standard Supplies Inc,Defense,33985.6,2025-08-30T16:21:19.926444,Routine procurement
INV-13C35CF8,V-GOOD-01,Standard Supplies Inc,Defense,49554.69,2025-11-08T18:53:19.926444,Routine procurement
INV-DA650440,V-GOOD-03,Global Tech Solutions,Education,43557.74,2025-12-23T21:32:04.926444,Routine procurement
INV-A4E0AD1D,V-GOOD-02,City Power Corp,Infrastructure,34098.33,2025-12-20T16:25:17.926444,Routine procurement
INV-05F164B1,V-GOOD-01,Standard Supplies Inc,Infrastructure,35631.4,2025-11-15T11:20:36.926444,Routine procurement
INV-5874F41F,V-GOOD-02,City Power Corp,Defense,11666.52,2026-01-08T12:09:20.926444,Routine procurement
INV-7127936D,V-GOOD-02,City Power Corp,Education,29215.62,2025-12-29T02:07:57.926444,Routine procurement
INV-CE01AF0F,V-GOOD-01,Standard Supplies Inc,Education,9505.92,2025-09-01T15:11:09.926444,Routine procurement
INV-5C147616,V-GOOD-03,Global Tech Solutions,Healthcare,25132.11,2025-12-12T16:20:55.926444,Routine procurement
INV-7DC7A55D,V-GOOD-03,Global Tech Solutions,Infrastructure,48417.27,2025-10-08T07:35:27.926444,Routine procurement
INV-5133946A,V-GOOD-02,City Power Corp,Transport,39710.84,2025-09-25T10:12:59.926444,Routine procurement
INV-567DCB0E,V-GOOD-01,Standard Supplies Inc,Infrastructure,38735.67,2025-12-18T09:41:56.926444,Routine procurement
INV-89C60A8D,V-GOOD-03,Global Tech Solutions,Defense,9636.0,2025-08-03T23:55:09.926444,Routine procurement
INV-F11683CB,V-GOOD-02,City Power Corp,Transport,34203.7,2025-12-22T20:32:46.926444,Routine procurement
INV-7E658378,V-GOOD-01,Standard Supplies Inc,Education,19602.08,2025-08-06T02:40:15.926444,Routine procurement
INV-02599635,V-GOOD-02,City Power Corp,Defense,7960.73,2025-07-30T08:29:46.926444,Routine procurement
INV-B2B3A083,V-GOOD-01,Standard Supplies Inc,Transport,3168.74,2025-07-20T22:03:41.926444,Routine procurement
INV-B03EE873,V-GOOD-02,City Power Corp,Transport,22880.27,2025-07-20T01:54:12.926444,Routine procurement
INV-18E97AC3,V-GOOD-01,Standard Supplies Inc,Education,33190.74,2025-07-26T11:49:36.926444,Routine procurement
INV-9525E057,V-GOOD-02,City Power Corp,Education,30535.98,2025-07-15T06:52:30.926444,Routine procurement
INV-B25C28CD,V-GOOD-01,Standard Supplies Inc,Defense,16815.87,2025-12-25T11:29:13.926444,Routine procurement
INV-BBB222D1,V-GOOD-02,City Power Corp,Healthcare,22507.99,2025-09-20T18:12:30.926444,Routine procurement
INV-3EC3135A,V-GOOD-02,City Power Corp,Infrastructure,16904.73,2025-10-31T11:06:23.926444,Routine procurement
INV-8A4935C8,V-GOOD-03,Global Tech Solutions,Infrastructure,23502.57,2025-07-15T14:22:56.926444,Routine procurement
INV-409CE80C,V-GOOD-03,Global Tech Solutions,Transport,7997.43,2025-08-10T02:36:33.926444,Routine procurement
INV-7A3895E9,V-GOOD-02,City Power Corp,Education,29619.2,2025-12-22T10:43:27.926444,Routine procurement
INV-54A83A12,V-GOOD-03,Global Tech Solutions,Transport,42329.33,2025-11-05T18:26:40.926444,Routine procurement
INV-C2C658A4,V-GOOD-02,City Power Corp,Education,15861.07,2025-10-23T09:21:35.926444,Routine procurement
INV-405EED8A,V-GOOD-01,Standard Supplies Inc,Transport,49458.05,2025-11-29T17:32:12.926444,Routine procurement
INV-A78D1E02,V-GOOD-02,City Power Corp,Defense,5517.22,2025-12-26T15:52:02.926444,Routine procurement
INV-DD30745D,V-GOOD-02,City Power Corp,Education,16081.96,2025-09-09T17:49:15.926444,Routine procurement
INV-32A2D58B,V-GOOD-01,Standard Supplies Inc,Infrastructure,1151.84,2025-09-28T00:31:50.926444,Routine procurement
INV-A903F48C,V-GOOD-03,Global Tech Solutions,Defense,10326.5,2025-11-24T23:55:58.926444,Routine procurement
INV-1B9534BA,V-GOOD-02,City Power Corp,Infrastructure,33320.09,2025-09-11T05:07:14.926444,Routine procurement
INV-DE5841ED,V-GOOD-01,Standard Supplies Inc,Infrastructure,21944.67,2025-10-13T13:31:10.926444,Routine procurement
INV-CE26F106,V-GOOD-03,Global Tech Solutions,Education,10229.56,2025-07-27T16:25:33.926444,Routine procurement
INV-8DFE970F,V-GOOD-03,Global Tech Solutions,Healthcare,29951.56,2025-08-26T14:00:03.926444,Routine procurement
INV-A6170477,V-GOOD-02,City Power Corp,Healthcare,26925.43,2025-08-12T13:55:26.926444,Routine procurement
INV-B1B7D5A3,V-GOOD-01,Standard Supplies Inc,Infrastructure,6293.77,2025-08-10T22:23:10.926444,Routine procurement
INV-E6719BCA,V-GOOD-03,Global Tech Solutions,Defense,11637.35,2025-10-01T23:41:51.926444,Routine procurement
INV-3DF5727E,V-GOOD-03,Global Tech Solutions,Defense,26597.99,2025-10-28T01:42:51.926444,Routine procurement
INV-B2588EA5,V-GOOD-02,City Power Corp,Education,40453.47,2025-11-06T05:23:18.926444,Routine procurement
INV-AFF836AE,V-GOOD-02,City Power Corp,Education,8816.17,2025-12-28T01:16:29.926444,Routine procurement
INV-9D3AB662,V-GOOD-02,City Power Corp,Infrastructure,31468.71,2025-11-01T04:44:07.926444,Routine procurement
INV-D73C0315,V-GOOD-01,Standard Supplies Inc,Defense,24624.35,2025-09-03T17:50:16.926444,Routine procurement
INV-9C985D72,V-GOOD-02,City Power Corp,Education,43921.04,2025-07-21T03:52:12.926444,Routine procurement
INV-51A88061,V-GOOD-02,City Power Corp,Infrastructure,27183.47,2025-09-20T05:12:37.926444,Routine procurement
INV-1E2FABD9,V-GOOD-03,Global Tech Solutions,Healthcare,22823.74,2025-07-17T21:28:18.926444,Routine procurement
INV-580ACD64,V-GOOD-03,Global Tech Solutions,Infrastructure,48919.18,2025-10-03T04:29:13.926444,Routine procurement
INV-3B5E7B0D,V-GOOD-03,Global Tech Solutions,Healthcare,38213.93,2025-09-01T16:28:25.926444,Routine procurement
INV-7E70482A,V-GOOD-01,Standard Supplies Inc,Education,38331.41,2025-12-22T09:05:11.926444,Routine procurement
INV-41908FE3,V-GOOD-03,Global Tech Solutions,Education,38026.43,2025-09-22T01:12:05.926444,Routine procurement
INV-52AF7FFF,V-GOOD-03,Global Tech Solutions,Education,41820.16,2025-08-10T23:46:21.926444,Routine procurement
INV-853C1611,V-GOOD-02,City Power Corp,Defense,36855.47,2025-10-07T05:44:32.926444,Routine procurement
INV-A79EC9A7,V-GOOD-01,Standard Supplies Inc,Infrastructure,34138.84,2025-11-07T02:41:58.926444,Routine procurement
INV-9753E438,V-GOOD-03,Global Tech Solutions,Infrastructure,30959.14,2025-11-01T11:01:33.926444,Routine procurement
INV-FEFF7406,V-GOOD-01,Standard Supplies Inc,Education,31596.46,2025-08-16T20:53:54.926444,Routine procurement
INV-09B3373B,V-GOOD-02,City Power Corp,Transport,46845.35,2025-09-26T13:27:36.926444,Routine procurement
INV-07A840E5,V-GOOD-02,City Power Corp,Healthcare,616.6,2025-08-26T12:01:16.926444,Routine procurement
INV-D516C494,V-GOOD-01,Standard Supplies Inc,Education,817.83,2025-11-10T22:45:29.926444,Routine procurement
INV-E461FBFB,V-GOOD-02,City Power Corp,Transport,35887.9,2025-12-26T21:45:42.926444,Routine procurement
INV-C9E7F07F,V-GOOD-01,Standard Supplies Inc,Education,40499.14,2025-10-21T11:10:35.926444,Routine procurement
INV-6CDF3381,V-GOOD-01,Standard Supplies Inc,Infrastructure,10228.89,2025-11-17T22:55:46.926444,Routine procurement
INV-E4C78A32,V-GOOD-02,City Power Corp,Transport,27215.29,2025-10-25T01:13:27.926444,Routine procurement
INV-CB34D1D8,V-GOOD-01,Standard Supplies Inc,Transport,26868.56,2025-10-08T07:52:02.926444,Routine procurement
INV-B8EA6299,V-GOOD-03,Global Tech Solutions,Transport,13155.5,2025-10-10T00:29:42.926444,Routine procurement
INV-4CDBE844,V-GOOD-03,Global Tech Solutions,Defense,18753.1,2025-08-25T03:14:47.926444,Routine procurement
INV-0B8C4A50,V-GOOD-02,City Power Corp,Infrastructure,32145.24,2025-07-28T17:11:57.926444,Routine procurement
INV-77359C6C,V-GOOD-03,Global Tech Solutions,Infrastructure,20589.36,2025-10-08T15:16:34.926444,Routine procurement
INV-AF2C9393,V-GOOD-01,Standard Supplies Inc,Infrastructure,27745.62,2025-10-12T00:09:49.926444,Routine procurement
INV-70629483,V-GOOD-03,Global Tech Solutions,Infrastructure,26932.98,2026-01-04T20:23:37.926444,Routine procurement
INV-02213384,V-GOOD-02,City Power Corp,Transport,41440.62,2025-11-08T13:25:42.926444,Routine procurement
INV-B805D02E,V-GOOD-02,City Power Corp,Infrastructure,40696.83,2025-11-02T05:17:17.926444,Routine procurement
INV-C789E3EC,V-GOOD-03,Global Tech Solutions,Education,14707.31,2025-08-30T12:57:34.926444,Routine procurement
INV-654CC815,V-GOOD-02,City Power Corp,Infrastructure,21250.18,2025-09-23T08:24:02.926444,Routine procurement
INV-6C9C7821,V-GOOD-01,Standard Supplies Inc,Defense,33125.24,2025-11-21T00:43:35.926444,Routine procurement
INV-EACED56A,V-GOOD-01,Standard Supplies Inc,Transport,13511.43,2025-09-30T08:14:30.926444,Routine procurement
INV-AB32C3D8,V-GOOD-01,Standard Supplies Inc,Infrastructure,25180.14,2025-10-30T22:18:06.926444,Routine procurement
